Date,sestonC,sestonN,sestonP,zooC,zooN,zooP,sestonC:N,sestonC:P,sestonN:P,zooC:N,zooC:P,zooN:P,C:Nimb,C:Pimb,N:Pimb
23/01/2018,26.9482,10.6063,0.0836,6.0288,0.5269,0.0208,2.540762765,322.1546434,126.7944602,11.44279021,290.4216599,25.38031848,-8.902027448,31.73298357,101.4141418
13/02/2018,38.2134,8.7126,0.1131,10.483,0.5414,0.032,4.386003205,337.8816947,77.03635381,19.36170925,327.6027463,16.92013562,-14.97570605,10.27894841,60.11621819
26/02/2018,36.5648,3.9143,0.0926,6.4115,0.8305,0.0208,9.34133718,394.8994141,42.27439889,7.719841175,308.093417,39.90929476,1.621496005,86.80599715,2.36510413
12/03/2018,42.8078,3.4748,0.0888,2.074,0.2721,0.011,12.31948244,482.1080105,39.13378773,7.622438269,189.0648132,24.80371851,4.697044166,293.0431974,14.33006922
03/04/2018,29.883,5.7945,0.0848,2.1845,0.1716,0.0107,5.157118137,352.2421867,68.30213645,12.73288357,204.8735197,16.09011176,-7.575765436,147.368667,52.21202469
17/04/2018,28.0369,4.7088,0.0965,1.3824,0.1241,0.0059,5.954128506,290.611075,48.80833101,11.14277101,235.553387,21.13956994,-5.188642503,55.05768797,27.66876108
01/05/2018,30.5176,6.1863,0.0828,2.8882,0.3924,0.0144,4.933084732,368.5043612,74.7005943,7.359512318,201.0959508,27.32462996,-2.426427586,167.4084104,47.37596434
15/05/2018,21.6066,6.5086,0.0989,5.2726,1.0589,0.0284,3.319715675,218.5475717,65.8332198,4.979180055,185.5554699,37.26627032,-1.65946438,32.9921018,28.56694948
28/05/2018,22.4111,4.9261,0.0442,3.4183,0.5464,0.0197,4.549500214,506.4930266,111.3293775,6.255799049,173.4765924,27.73052507,-1.706298835,333.0164342,83.5988524
12/06/2018,26.2786,5.7076,0.0685,2.6659,0.3465,0.0159,4.604148311,383.8526496,83.3710436,7.694789565,167.9835416,21.83081683,-3.090641254,215.869108,61.54022677
26/06/2018,24.3235,5.3944,0.0824,10.596,1.9341,0.0511,4.508979131,295.0232855,65.43017321,5.478452782,207.5073884,37.87700591,-0.969473652,87.51589706,27.55316729
10/07/2018,25.1509,0.3298,0.0801,3.9585,0.4734,0.0133,76.25086768,313.8236117,4.115672664,8.361708798,297.4709423,35.57537694,67.88915888,16.35266938,-31.45970427
24/07/2018,28.4833,3.2681,0.0804,5.7787,0.7611,0.0327,8.71551487,354.4087959,40.66412612,7.592750205,176.933392,23.30293863,1.122764666,177.4754038,17.36118749
07/08/2018,31.3998,3.8224,0.0957,3.8977,0.5144,0.0251,8.214662485,327.9989475,39.92847522,7.576569834,154.9777696,20.45487245,0.63809265,173.0211779,19.47360277
21/08/2018,34.3261,6.0187,0.1077,7.7763,1.1539,0.0484,5.703214143,318.7796719,55.89474004,6.739054198,160.6229255,23.83463921,-1.035840055,158.1567465,32.06010083
03/09/2018,27.2,1.8679,0.1007,0.9234,0.1495,0.0032,14.56174789,270.1090213,18.54921699,6.177746081,289.1072534,46.79817682,8.384001806,-18.99823214,-28.24895983
17/09/2018,26.1412,2.2203,0.0944,1.7088,0.224,0.0084,11.77349676,276.8250912,23.51256358,7.628239299,203.5294282,26.68104922,4.145257463,73.29566293,-3.168485645
01/10/2018,25.5351,1.0137,0.1042,2.9607,0.3297,0.0224,25.18974088,245.1550148,9.732335716,8.980212413,132.0332253,14.702684,16.20952846,113.1217895,-4.97034828
17/10/2018,25.5406,5.5676,0.1833,8.3583,1.0358,0.0418,4.587330332,139.3058038,30.3675109,8.06968915,200.1496009,24.80264075,-3.482358818,-60.84379709,5.56487015
30/10/2018,24.1193,5.9833,0.0985,2.2436,0.3674,0.011,4.031086948,244.829715,60.73540912,6.106942805,204.1690702,33.43228793,-2.075855857,40.66064477,27.30312119
13/11/2018,31.9554,5.4345,0.1283,7.4067,0.9942,0.0324,5.880099456,249.1592213,42.37330052,7.450066844,228.6970603,30.69731656,-1.569967388,20.462161,11.67598396
26/11/2018,40.1384,7.6514,0.173,4.2354,0.4495,0.0191,5.245867764,232.0236139,44.22978702,9.42219808,221.1834765,23.47472157,-4.176330316,10.84013743,20.75506545
18/12/2018,46.2628,3.8527,0.201,16.5852,1.2416,0.0573,12.00800448,230.1352821,19.16515625,13.35811781,289.2423087,21.65292393,-1.350113334,-59.10702664,-2.487767672
14/01/2019,35.2845,3.0165,0.1017,5.4055,0.6253,0.0258,11.69734117,346.912709,29.65739854,8.643909342,209.4317915,24.22882786,3.053431833,137.4809176,5.428570676
28/01/2019,34.6564,10.5581,0.1019,8.7575,1.0333,0.0341,3.2824366,340.1180889,103.6175654,8.475351068,257.0983806,30.33483552,-5.192914469,83.01970833,73.28272986
17/02/2019,25.1868,4.9206,0.1109,5.7206,0.8054,0.0348,5.11865521,227.0369724,44.35480865,7.103033587,164.5867143,23.17132705,-1.984378377,62.45025815,21.18348161
