FA_name,FA_ID,FA_type,FA_subtype,FA_units_q,,,Fseston_w_r1_q,Fseston_w_r2_q,Fseston_w_r3_q,Fseston_w_r4_q,Fseston_w_mean_q,Fseston_w_sd_q,BRseston_w_r1_q,BRseston_w_r2_q,BRseston_w_r3_q,BRseston_w_r4_q,BRseston_w_mean_q,BRseston_w_sd_q,Dap_w_q,Cala_w_q,Cala_a_r1_q,Cala_a_r2_q,Cala_a_mean_q,Cala_a_sd_q,,FA_units_p,Fseston_w_r1_p,Fseston_w_r2_p,Fseston_w_r3_p,Fseston_w_r4_p,Fseston_w_mean_P,Fseston_w_sd_P,BRseston_w_r1_p,BRseston_w_r2_p,BRseston_w_r3_p,BRseston_w_r4_p,BRseston_w_mean_p,BRseston_w_sd_p,Dap_w_p,Cala_w_p,Cala_a_r1_p,Cala_a_r2_p,Cala_a_mean_p,Cala_a_sd_p
Arachidic,C20:0,SAFA,terrFA,ugFAME·mgDW-1,,,0.28,0.24,0.26,0.22,0.25,0.025819889,0.69,0.31,0.45,0.29,0.435,0.184300479,0.1,0.7,0.36,0.39,0.375,0.021213203,,%,2.42,2.46,2.56,2.73,2.5425,0.138172597,3.77,3.71,2.88,3.47,3.4575,0.406232692,0.17,0.52,0.44,0.43,0.435,0.007071068
Dehenic,C22:0,SAFA,terrFA,ugFAME·mgDW-1,,,0.17,0.14,0.16,0.13,0.15,0.018257419,0.35,0.17,0.21,0.16,0.2225,0.087702147,0.08,1.04,0.66,0.7,0.68,0.028284271,,%,1.47,1.45,1.56,1.58,1.515,0.064549722,1.93,2.02,1.36,1.88,1.7975,0.297363414,0.15,0.77,0.82,0.78,0.8,0.028284271
Tricosanoic,C23:0,SAFA,terrFA,ugFAME·mgDW-1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.18,0.17,0.014142136,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0
Lignoceric,C24:0,SAFA,terrFA,ugFAME·mgDW-1,,,0.25,0.21,0.23,0.16,0.2125,0.038622101,0.5,0.23,0.29,0.23,0.3125,0.128160056,0.06,0.21,0.18,0.2,0.19,0.014142136,,%,2.13,2.13,2.22,2.05,2.1325,0.06946222,2.74,2.81,1.86,2.79,2.55,0.460941066,0.12,0.16,0.22,0.23,0.225,0.007071068
Margaric,C17:0,SAFA,SAFA,ugFAME·mgDW-1,,,0.12,0.1,0.1,0.07,0.0975,0.020615528,0.18,0.08,0.14,0.08,0.12,0.048989795,0.67,1.41,1.03,1.19,1.11,0.113137085,,%,1,0.98,0.98,0.88,0.96,0.054160256,0.99,0.97,0.88,0.95,0.9475,0.047871355,1.23,1.04,1.28,1.32,1.3,0.028284271
Stearic,C18:0,SAFA,SAFA,ugFAME·mgDW-1,,,1.5,1.49,1.48,1.5,1.4925,0.009574271,3.57,1.62,4.37,1.35,2.7275,1.475542273,3.21,5.49,3.87,4.44,4.155,0.403050865,,%,12.97,15.02,14.44,18.76,15.2975,2.464310248,19.43,19.52,28.08,16.1,20.7825,5.118674145,5.84,4.06,4.79,4.93,4.86,0.098994949
Heneicosanoic,C21:0,SAFA,SAFA,ugFAME·mgDW-1,,,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,,%,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0
Myristic,C14:0,SAFA,BAFA,ugFAME·mgDW-1,,,0.39,0.35,0.33,0.23,0.325,0.068068593,0.43,0.18,0.43,0.25,0.3225,0.127377392,0.94,5.24,2.72,3.17,2.945,0.318198052,,%,3.41,3.53,3.18,2.89,3.2525,0.281942666,2.32,2.16,2.79,2.97,2.56,0.382361086,1.72,3.88,3.37,3.52,3.445,0.106066017
Pentadecylic,C15:0,SAFA,BAFA,ugFAME·mgDW-1,,,0.18,0.16,0.1,0.08,0.13,0.047609523,0.23,0.1,0.17,0.11,0.1525,0.060207973,0.69,2.09,1.26,1.41,1.335,0.106066017,,%,1.57,1.6,0.95,1.04,1.29,0.342831348,1.24,1.15,1.1,1.28,1.1925,0.082209083,1.26,1.54,1.56,1.56,1.56,0
Palmitic,C16:0,SAFA,BAFA,ugFAME·mgDW-1,,,2.72,2.43,2.24,1.73,2.28,0.416413256,4.58,2.11,4.13,2.15,3.2425,1.297776945,7.5,17.83,11.92,13.49,12.705,1.110157646,,%,23.55,24.39,21.89,21.53,22.84,1.357104761,24.97,25.33,26.55,25.71,25.64,0.677741347,13.67,13.2,14.76,14.98,14.87,0.155563492
Petroselinic,C18:1n-12,MUFA,MUFA,ugFAME·mgDW-1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nervonic,C24:1n-9,MUFA,MUFA,ugFAME·mgDW-1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0.46,0.55,0.505,0.06363961,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.57,0.61,0.59,0.028284271
Erucic,C22:1n-9,MUFA,MUFA,ugFAME·mgDW-1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gondoic,C20:1n-9,MUFA,MUFA,ugFAME·mgDW-1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oleic,C18:1n-9cis,MUFA,BAFA,ugFAME·mgDW-1,,,0.47,0.48,0.46,0.32,0.4325,0.075443135,0.82,0.38,0.55,0.38,0.5325,0.207745838,4.59,5.75,2.33,2.51,2.42,0.127279221,,%,4.06,4.79,4.54,3.96,4.3375,0.393816793,4.49,4.59,3.56,4.52,4.29,0.48846699,8.37,4.25,2.89,2.79,2.84,0.070710678
Elaidic,C18:1n-9trans,MUFA,BAFA,ugFAME·mgDW-1,,,0.06,0.05,0.06,0,0.0425,0.028722813,0,0,0,0,0,0,0.2,1.56,0.88,0.95,0.915,0.049497475,,%,0.53,0.53,0.57,0,0.4075,0.272320277,0,0,0,0,0,0,0.36,1.16,1.09,1.06,1.075,0.021213203
7-Hexadecanoic,C16:1n-9,MUFA,MUFA,ugFAME·mgDW-1,,,0.39,0,0,0.14,0.1325,0.183915742,0.57,0.24,0.39,0.25,0.3625,0.15435349,0,0,0.37,0.37,0.37,0,,%,3.4,0,0,1.8,1.3,1.637070554,3.1,2.92,2.51,2.96,2.8725,0.253689443,0,0,0.46,0.42,0.44,0.028284271
Vaccenic,C18:1n-7,MUFA,MUFA,ugFAME·mgDW-1,,,0.77,0.63,0.76,0.56,0.68,0.102306728,0.79,0.37,0.46,0.35,0.4925,0.204022058,6.82,7.5,4.11,4.92,4.515,0.572756493,,%,6.63,6.3,7.42,6.96,6.8275,0.478147467,4.28,4.51,2.94,4.13,3.965,0.700975511,12.43,5.55,5.09,5.47,5.28,0.268700577
10-Heptadecanoic,C17:1n-7,MUFA,MUFA,ugFAME·mgDW-1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palmitoleic,C16:1n-7,MUFA,MUFA,ugFAME·mgDW-1,,,1.89,1.63,1.99,1.38,1.7225,0.274150202,1.54,0.7,1.04,0.76,1.01,0.383144881,8.12,14.49,6.56,7.3,6.93,0.523259018,,%,16.33,16.36,19.42,17.18,17.3225,1.452730188,8.39,8.45,6.72,9.09,8.1625,1.012501029,14.79,10.73,8.12,8.1,8.11,0.014142136
6-Octadecenoic,C18:1n-6,MUFA,MUFA,ugFAME·mgDW-1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-Pentadecanoic,C15:1n-5,MUFA,MUFA,ugFAME·mgDW-1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myristoleic,C14:1n-5,MUFA,MUFA,ugFAME·mgDW-1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-methyltetradecanoic,iso-15:0,BAFA,BAFA,ugFAME·mgDW-1,,,0.2,0.15,0.19,0.12,0.165,0.036968455,0.17,0.08,0.15,0.12,0.13,0.0391578,0.72,7.42,2.67,2.91,2.79,0.169705627,,%,1.69,1.5,1.9,1.51,1.65,0.188148877,0.9,0.91,0.96,1.38,1.0375,0.229836899,1.31,5.49,3.3,3.23,3.265,0.049497475
12-methyltetradecanoic,anteiso-15:0,BAFA,BAFA,ugFAME·mgDW-1,,,0.12,0.15,0.13,0.08,0.12,0.029439203,0.24,0.1,0.17,0.12,0.1575,0.062383224,0.48,1.64,0.58,0.66,0.62,0.056568542,,%,1.05,1.5,1.29,1.04,1.22,0.219544984,1.32,1.2,1.09,1.45,1.265,0.155026879,0.87,1.22,0.72,0.73,0.725,0.007071068
14-methylpentadecanoic,iso-16:0,BAFA,BAFA,ugFAME·mgDW-1,,,0,0,0,0,0,0,0,0,0,0,0,0,0.42,2.59,1.34,1.48,1.41,0.098994949,,%,0,0,0,0,0,0,0,0,0,0,0,0,0.77,1.92,1.67,1.64,1.655,0.021213203
16-methylhexadecanoic,iso-17:0,BAFA,BAFA,ugFAME·mgDW-1,,,1.17,1.02,1.01,0.67,0.9675,0.211404037,2.26,1.01,1.68,1.15,1.525,0.56865338,0,1.42,1.16,1.31,1.235,0.106066017,,%,10.07,10.3,9.88,8.39,9.66,0.863905859,12.31,12.15,10.8,13.72,12.245,1.193998883,0,1.05,1.44,1.45,1.445,0.007071068
"9,10-methanohexadecanoic","9,10?16",BAFA,BAFA,ugFAME·mgDW-1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9,10-methanooctadecanoic","9,10?18",BAFA,BAFA,ugFAME·mgDW-1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
