Samples,FA_ID,FAME,value
LAKEw,C20:0,terrFA,0.25
LAKEw,C22:0,terrFA,0.15
LAKEw,C23:0,terrFA,0
LAKEw,C24:0,terrFA,0.2125
LAKEw,C17:0,SAFA,0.0975
LAKEw,C18:0,SAFA,1.4925
LAKEw,C21:0,SAFA,0
LAKEw,C14:0,BAFA,0.325
LAKEw,C15:0,BAFA,0.13
LAKEw,C16:0,BAFA,2.28
LAKEw,C18:1n-12,MUFA,0
LAKEw,C24:1n-9,MUFA,0
LAKEw,C22:1n-9,MUFA,0
LAKEw,C20:1n-9,MUFA,0
LAKEw,C18:1n-9cis,BAFA,0.4325
LAKEw,C18:1n-9trans,BAFA,0.0425
LAKEw,C16:1n-9,MUFA,0.1325
LAKEw,C18:1n-7,MUFA,0.68
LAKEw,C17:1n-7,MUFA,0
LAKEw,C16:1n-7,MUFA,1.7225
LAKEw,C18:1n-6,MUFA,0
LAKEw,C15:1n-5,MUFA,0
LAKEw,C14:1n-5,MUFA,0
LAKEw,iso-15:0,BAFA,0.165
LAKEw,anteiso-15:0,BAFA,0.12
LAKEw,iso-16:0,BAFA,0
LAKEw,iso-17:0,BAFA,0.9675
LAKEw,"9,10 16",BAFA,0
LAKEw,"9,10 18",BAFA,0
LAKEw,C18:2n-6trans,n-6 PUFA,0
LAKEw,C18:2n-6cis,n-6 PUFA,0.265
LAKEw,C18:3n-6,n-6 PUFA,0
LAKEw,C20:2n-6,n-6 PUFA,0
LAKEw,C20:3n-6,n-6 PUFA,0
LAKEw,C20:4n-6,n-6 PUFA,0.0475
LAKEw,C22:2n-6,n-6 PUFA,0
LAKEw,C22:4n-6,n-6 PUFA,0
LAKEw,C18:3n-3,n-3 PUFA,0.135
LAKEw,C18:4n-3,n-3 PUFA,0.0075
LAKEw,C20:3n-3,n-3 PUFA,0
LAKEw,C20:4n-3,n-3 PUFA,0
LAKEw,C20:5n-3,n-3 PUFA,0.1825
LAKEw,C22:3n-3,n-3 PUFA,0
LAKEw,C22:5n-3,n-3 PUFA,0
LAKEw,C22:6n-3,n-3 PUFA,0.105
LAKEw,n-3:n-6,Omega ratio,1.38
LAKEw,DHA:EPA,Essential ratio,0.5725
RIVERw,C20:0,terrFA,0.435
RIVERw,C22:0,terrFA,0.2225
RIVERw,C23:0,terrFA,0
RIVERw,C24:0,terrFA,0.3125
RIVERw,C17:0,SAFA,0.12
RIVERw,C18:0,SAFA,2.7275
RIVERw,C21:0,SAFA,0
RIVERw,C14:0,BAFA,0.3225
RIVERw,C15:0,BAFA,0.1525
RIVERw,C16:0,BAFA,3.2425
RIVERw,C18:1n-12,MUFA,0
RIVERw,C24:1n-9,MUFA,0
RIVERw,C22:1n-9,MUFA,0
RIVERw,C20:1n-9,MUFA,0
