FAME,Group,Retention
terrFA,DAPw-LAKEw,0.390243902
SAFA,DAPw-LAKEw,2.70242915
MUFA,DAPw-LAKEw,6.554817276
BAFA,DAPw-LAKEw,3.482932289
n-6 PUFA,DAPw-LAKEw,25.19354839
LIN,DAPw-LAKEw,6.037735849
n-3 PUFA,DAPw-LAKEw,28.74418605
ALA,DAPw-LAKEw,10.2962963
EPA,DAPw-LAKEw,50.57534247
DHA,DAPw-LAKEw,2.571428571
terrFA,CALAw-LAKEw,3.170731707
SAFA,CALAw-LAKEw,6.884615385
MUFA,CALAw-LAKEw,10.03654485
BAFA,CALAw-LAKEw,10.19585898
n-6 PUFA,CALAw-LAKEw,50.93548387
LIN,CALAw-LAKEw,14.90566038
n-3 PUFA,CALAw-LAKEw,97.76744186
ALA,CALAw-LAKEw,35.55555556
EPA,CALAw-LAKEw,85.53424658
DHA,CALAw-LAKEw,170.8571429
