phyto_name,lake,stationid,device,mesh_um,integrated_y_n,min_depth_m,max_depth_m,date_dd_mm_yyyy,cell_colony_density_ind_l,biovol_um3_ml,biomass_ug_l,genus,MFG,CSR
Amphora,Feeagh,AWQMS,tube,NA,y,0,6,23/01/2018,0,0,0,Amphora,6b2-LUniPenn,CR
Asterionella formosa,Feeagh,AWQMS,tube,NA,y,0,6,23/01/2018,0,0,0,Asterionella,6b1-LColPenn,R
Aulacoseira alpigena,Feeagh,AWQMS,tube,NA,y,0,6,23/01/2018,6283.17,5563.862206,5.563862206,Aulacoseira,6a1-LColCent,CR
Aulacoseira distans,Feeagh,AWQMS,tube,NA,y,0,6,23/01/2018,698.13,1340.192081,1.340192081,Aulacoseira,7a-SmallCent,R
Aulacoseira subarctica,Feeagh,AWQMS,tube,NA,y,0,6,23/01/2018,6981.3,5300.987797,5.300987797,Aulacoseira,7a-SmallCent,R
Botryococcus braunii,Feeagh,AWQMS,tube,NA,y,0,6,23/01/2018,0,0,0,Botryococcus,11a-NakeChlor,CR
Centric Diatom Large,Feeagh,AWQMS,tube,NA,y,0,6,23/01/2018,0,0,0,Centric,7a-SmallCent,C
Centric Diatom Small,Feeagh,AWQMS,tube,NA,y,0,6,23/01/2018,1396.26,250.1077434,0.250107743,Centric,7a-SmallCent,C
Centric Diatoms,Feeagh,AWQMS,tube,NA,y,0,6,23/01/2018,4188.78,2923.616642,2.923616642,Centric,7a-SmallCent,C
Ceratium,Feeagh,AWQMS,tube,NA,y,0,6,23/01/2018,0,0,0,Ceratium,1b-LargeDino,S
Chlamydomonas,Feeagh,AWQMS,tube,NA,y,0,6,23/01/2018,1396.26,345.3576159,0.345357616,Chlamydomonas,3a-UnicPhyto,C
Chromulina,Feeagh,AWQMS,tube,NA,y,0,6,23/01/2018,2094.39,198.8657199,0.19886572,Chromulina,2a-SmallChry1,C
Chroomonas,Feeagh,AWQMS,tube,NA,y,0,6,23/01/2018,0,0,0,Chroomonas,2d-Crypto,CR
Closterium,Feeagh,AWQMS,tube,NA,y,0,6,23/01/2018,0,0,0,Closterium,8a-LargeCoCh,CR
Closterium  kuetzingii,Feeagh,AWQMS,tube,NA,y,0,6,23/01/2018,0,0,0,Closterium,8a-LargeCoCh,S
Closterium acutum,Feeagh,AWQMS,tube,NA,y,0,6,23/01/2018,4886.91,1005.985455,1.005985455,Closterium,8a-LargeCoCh,R
Closterium gracile,Feeagh,AWQMS,tube,NA,y,0,6,23/01/2018,0,0,0,Closterium,8a-LargeCoCh,R
Coenococcus,Feeagh,AWQMS,tube,NA,y,0,6,23/01/2018,0,0,0,Coenococcus,1a-LargeChry,SR
Coenococcus planctonicus,Feeagh,AWQMS,tube,NA,y,0,6,23/01/2018,0,0,0,Coenococcus,1a-LargeChry,SR
Cosmarium,Feeagh,AWQMS,tube,NA,y,0,6,23/01/2018,0,0,0,Cosmarium,8a-LargeCoCh,R
Cryptomonas,Feeagh,AWQMS,tube,NA,y,0,6,23/01/2018,0,0,0,Cryptomonas,2d-Crypto,R
