Date,Variable,Value
23/01/2018,SRP,3.359462486
13/02/2018,SRP,1.833872708
26/02/2018,SRP,3.786431545
12/03/2018,SRP,2.111417898
03/04/2018,SRP,2.297259024
17/04/2018,SRP,2.769298549
01/05/2018,SRP,NA
15/05/2018,SRP,1.193965049
28/05/2018,SRP,2.454605532
12/06/2018,SRP,NA
26/06/2018,SRP,2.147796738
10/07/2018,SRP,NA
24/07/2018,SRP,1.612797051
07/08/2018,SRP,NA
21/08/2018,SRP,2.067456259
03/09/2018,SRP,NA
17/09/2018,SRP,2.196559448
01/10/2018,SRP,NA
17/10/2018,SRP,1.318432948
30/10/2018,SRP,9.037583504
13/11/2018,SRP,3.697636769
26/11/2018,SRP,6.754193426
18/12/2018,SRP,6.641823762
14/01/2019,SRP,12.32525516
28/01/2019,SRP,18.04517849
17/02/2019,SRP,20.9620744
23/01/2018,TP,7.916364515
13/02/2018,TP,6.425020452
26/02/2018,TP,4.476776721
12/03/2018,TP,7.043131389
03/04/2018,TP,10.34704888
17/04/2018,TP,11.75618005
01/05/2018,TP,6.522264272
15/05/2018,TP,14.97705129
28/05/2018,TP,12.96400676
12/06/2018,TP,4.307915291
26/06/2018,TP,3.704001933
10/07/2018,TP,5.515742008
24/07/2018,TP,6.551081283
07/08/2018,TP,5.991797166
21/08/2018,TP,8.228933632
03/09/2018,TP,7.519193037
17/09/2018,TP,8.488278092
01/10/2018,TP,7.110365399
17/10/2018,TP,12.31149567
30/10/2018,TP,6.585702652
13/11/2018,TP,14.61576389
26/11/2018,TP,23.71729225
18/12/2018,TP,28.91194324
14/01/2019,TP,9.372365808
28/01/2019,TP,19.80835816
17/02/2019,TP,17.74587043
