CampaignID,Who,Date,DOC.mgL,pH,alkalinity.ueqL,a254.Aum,SUVA254.AULmmgC,FI,colour.mgPtL,chla.ugL,TSS.mgL,LOI.perOM,NO3.mgL,NH4.mgL,TN.mgL,SRP.ugL,TP.ugL,dissSi.mgL,Si.TP.molar,Secchi.m
1,Maria,23/01/2018,8.71,5.926666667,119.8685045,33.4,3.83467279,,83,NA,0.907142857,NA,0.0498,NA,0.34,3.359462486,7.916364515,0.55119752,77.08770818,1.7
2,Maria,13/02/2018,7.666666667,5.843333333,63.19939922,33,4.304347826,,78,0.0952,1.488888889,73.87878788,0.074533333,0,0.356,1.833872708,6.425020452,0.470431065,81.06346081,1.9
3,Maria,26/02/2018,8.426666667,NA,NA,29.8,3.536392405,,71.33333333,0.162633333,0.511111111,108.974359,0.043566667,0.003448157,0.332,3.786431545,4.476776721,0.4840309,119.7047312,1.6
4,Maria,12/03/2018,9.756666667,NA,NA,33,3.382302699,,45.33333333,0.234033333,1.166666667,97.44927536,0.1164,0.024676696,0.317,2.111417898,7.043131389,0.499868911,78.57673862,1.8
5,Maria,03/04/2018,7.905555556,6.183333333,90.67094066,27.2,3.440618412,,63.66666667,0.2499,0.75,72.7124183,0.061666667,0.010048783,0.331,2.297259024,10.34704888,0.532394875,56.96669549,1.7
6,Maria,17/04/2018,10.08,5.85,85.46312905,28.3,2.807539683,,68,0.357,0.633333333,97.82135076,0.03925,0.012150201,0.416,2.769298549,11.75618005,0.376329263,35.44095568,1.8
7,Mikkel,01/05/2018,12.18,6.29,99.92290914,30.1,2.471264368,,75,0.6188,0.833333333,88.21428571,0.083666667,0.022086136,0.363,NA,6.522264272,0.491149339,83.37173412,1.8
8,Maria,15/05/2018,7.536666667,5.816666667,86.48527793,31.1,4.126492702,,70,0.551366667,0.583333333,72.11538462,0.050866667,0.004056286,0.436,1.193965049,14.97705129,0.514374121,38.02388219,2
9,Maria,28/05/2018,6.826666667,6.11,109.3930689,29.1,4.262695313,,72.66666667,0.765566667,0.666666667,82.43589744,0.113466667,0.027973415,0.346,2.454605532,12.96400676,0.513301088,43.83657335,1.8
10,Mikkel,12/06/2018,7.32,6.775,143.2447016,29.4,4.016393443,,67.33333333,1.935733333,0.583333333,71.1038961,0.11835,0.002153905,0.334,NA,4.307915291,0.524819353,134.8796247,2.3
11,Maria,26/06/2018,11.01666667,6.58,120.9750558,30,2.723146747,,68.66666667,0.983733333,0.766666667,82.42763772,0.111066667,0.007548969,0.406,2.147796738,3.704001933,0.340333333,101.7271659,1.9
12,Mikkel,10/07/2018,8.826666667,6.54,121.2271576,18,2.039274924,,63,2.3562,0.566666667,116.6666667,0.0538,0.003682181,0.494,NA,5.515742008,0.317333333,63.69647689,1.9
13,Maria,24/07/2018,8.133333333,6.37,144.8834798,28.5,3.504098361,,60,2.4038,0.8,105.5555556,0.047233333,0.035339392,0.511,1.612797051,6.551081283,0.48410476,81.81445236,2.3
