CampaignID,Who,Date,RiverID,DOC.mgL,alkalinity.ueqL,colour.mgPtL,NO3N.mgL,TN.mgL,SRP.ugL,TP.ugL,dissSi.mgL
1,Maria,22/01/2018,GR,4.323333333,-37.594,42.66666667,0.04215,0.245,4.959206527,3.081943437,0.444688645
2,Maria,12/02/2018,GR,4.78,-10.344,50.66666667,0.05655,0.222,2.912621359,2.020011327,0.400368127
3,Maria,26/02/2018,GR,3.576666667,NA,35,0.056566667,0.244,7.21528288,2.611453087,1.398939237
4,Maria,12/03/2018,GR,5.953333333,47.412,48,0.058733333,0.557,5.359753127,9.536275243,0.910964291
5,Maria,03/04/2018,GR,6.941111111,59.92,71.33333333,0.0194,0.342,2.438281012,21.82140269,0.846417614
6,Maria,16/04/2018,GR,12.15,22.211,146.3333333,0.034533333,0.506,2.550586635,12.42719489,0.339569384
7,Mikkel,30/04/2018,GR,8.876666667,126.123,85.33333333,0.01765,0.368,11.4336685,11.35357114,1.197706308
8,Maria,14/05/2018,GR,9.845,17.804,97.33333333,0.0204,0.396,3.90752198,10.27994739,0.408045007
9,Maria,29/05/2018,GR,6.343333333,198.198,52.33333333,0,0.325,5.286842685,8.132699895,1.760781943
10,Mikkel,11/06/2018,GR,5.533333333,233.538,51.66666667,0.00715,0.309,8.718959234,11.35357114,2.442821238
11,Maria,25/06/2018,GR,7.496666667,146.422,46,0.010366667,0.349,8.048337228,15.58096465,1.001666667
12,Mikkel,11/07/2018,GR,4.693333333,338.628,40.33333333,0.0076,0.302,6.809406809,8.937917707,1.662
13,Maria,25/07/2018,GR,11.44333333,50.963,100.3333333,0.0069,0.462,10.49963794,7.110365399,1.039751826
14,Mikkel,08/08/2018,GR,17.10333333,36.811,176.6666667,0.0427,0.535,16.85779817,7.110365399,0.782723325
15,Maria,20/08/2018,GR,19.51333333,11.652,185.6666667,0.0352,0.578,7.016154751,6.364653244,0.695317511
16,Mikkel,04/09/2018,GR,16.51,36.707,173.6666667,0.0203,0.443,9.377694316,8.177616245,1.133534137
17,Maria,18/09/2018,GR,15.32666667,-37.083,164,0.011566667,0.476,5.350035884,11.61167046,0.360763945
18,Mikkel,01/10/2018,GR,5.47,76.621,54.33333333,0.0184,0.292,7.376185458,5.059656972,1.392002569
19,Maria,17/10/2018,GR,5.23,4.801,66.33333333,0.0233,0.32,2.574083375,4.153275649,0.54578305
20,Maria,30/10/2018,GR,5.48,39.364,71.33333333,0.049566667,0.317,16.75163875,NA,1.581278088
21,Maria,12/11/2018,GR,7.47,NA,93.66666667,0.032733333,0.351,5.038748551,12.32654786,0.404168875
22,Maria,27/11/2018,GR,5.14,92.067,66,0.058266667,0.383,16.13689944,30.43323389,1.560438208
23,Maria,17/12/2018,GR,5.88,0.7,76,0.051766667,0.317,7.299430075,21.19417605,0.691029653
24,Maria,15/01/2019,GR,7.5,32.682,113,0.0726,0.39,17.16248247,NA,0.84871078
25,Maria,29/01/2019,GR,7.02,NA,70,0.027533333,0.317,9.233771719,13.76922458,0.227719989
26,Maria,18/02/2019,GR,5.656666667,NA,39,0.032,0.272,13.31916599,4.848258822,0.431687715
1,Maria,22/01/2018,BR,6.156666667,100.5326403,61,0.047166667,0.298,4.959206527,10.33357505,0.723640462
2,Maria,12/02/2018,BR,5.71,169.5444938,67,0.1568,0.319,2.912621359,5.795733434,0.643807149
3,Maria,26/02/2018,BR,4.373333333,NA,43.33333333,0.063566667,0.373,13.09331374,10.07274762,1.680272109
4,Maria,12/03/2018,BR,7.373333333,447.3991958,57.66666667,0.03335,0.444,3.735585512,5.796559461,1.262807404
5,Maria,03/04/2018,BR,8.085555556,355.8548303,85,0.02145,0.331,2.926645058,10.95096224,1.073211815
6,Maria,16/04/2018,BR,14.80666667,219.1717364,152.3333333,0.0054,0.665,4.250977725,16.72168988,0.639556256
7,Mikkel,30/04/2018,BR,8.286666667,631.77207,77.66666667,0.0078,0.409,3.32468375,6.924873178,1.411119422
8,Maria,14/05/2018,BR,10.57666667,396.2110996,109,0.023,0.361,3.90752198,16.38618246,1.07302391
9,Maria,29/05/2018,BR,5.593333333,928.0341799,41.66666667,0,0.276,5.286842685,16.58748692,1.893288996
10,Mikkel,11/06/2018,BR,4.5,1136.831975,26,0.0978,0.357,6.22934147,14.97705129,2.188867944
11,Maria,25/06/2018,BR,7.85,708.5419127,52.33333333,0.02185,0.353,4.862045363,4.91182865,1.000333333
12,Mikkel,11/07/2018,BR,4.406666667,1570.42957,26.33333333,0.0332,0.325,5.931905932,4.91182865,1.423666667
13,Maria,25/07/2018,BR,5.89,993.6729937,37.33333333,0.02745,0.312,6.76935905,5.805369128,1.930873552
14,Mikkel,08/08/2018,BR,11.09333333,639.3606394,75,0.009066667,0.374,6.314738088,7.669649515,1.981027709
15,Maria,20/08/2018,BR,19.44,257.0762571,173.3333333,0.035033333,0.545,5.25661751,9.720357942,1.074834295
16,Mikkel,04/09/2018,BR,14.7,504.0568313,130,0.0165,0.407,7.251768652,10.74546676,1.787483266
17,Maria,18/09/2018,BR,21.68666667,39.717427,201.3333333,0.034666667,0.576,6.328700985,23.92151099,0.612346481
18,Mikkel,01/10/2018,BR,6.716666667,535.5208689,70.66666667,0.016766667,0.324,7.792135766,6.551081283,1.869493068
19,Maria,17/10/2018,BR,8.32,162.2752529,110.3333333,0.0192,0.403,2.678720911,9.592088999,0.778277766
20,Maria,30/10/2018,BR,6.36,388.5550821,85.66666667,0.032,0.363,19.84509237,5.700527564,1.956154774
21,Maria,12/11/2018,BR,9.96,115.0429155,133,0.0336,0.418,6.236169785,14.43967035,0.521639286
22,Maria,27/11/2018,BR,4.79,659.9835652,62,0.0562,0.38,23.08077934,40.11754753,2.164820286
