Sample_ID,Sampling_date,Replicate,Sample_name,Sample_season,Sample_type,C.per,N.per,P.per,CNper,CPper,Npper,C.uM,N.uM,P.uM,CNmolar,CPmolar,NPmolar,C13,C13norm,N15,Comments
Cala_a_r1,15/10/2019,1,Calanoid,Autumn,Zooplankton,14.6,3.4,0.39,4.29,NA,NA,12.17,2.43,0.13,5.01,NA,NA,-28.23,NA,9.6,*normalise 13C values if C:N > 3.5 Post et al. (2007)
Cala_a_r2,15/10/2019,2,Calanoid,Autumn,Zooplankton,NA,NA,0.13,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,*make sure ratio is with % w/w!
Cala_a_r3,15/10/2019,3,Calanoid,Autumn,Zooplankton,NA,NA,0.19,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,*Only for zooplankton
Cala_a_m,15/10/2019,mean,Calanoid,Autumn,Zooplankton,14.6,3.4,0.24,4.29,4.29,14.37,12.17,2.43,0.08,5.01,159.37,31.81,-28.23,-27.28,9.6,
Cala_a_sd,15/10/2019,sd,Calanoid,Autumn,Zooplankton,NA,NA,0.14,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,
Cyc_a_r1,15/10/2019,1,Cyclopoid,Autumn,Zooplankton,38.66,8.14,0.46,4.75,NA,NA,32.22,5.82,0.15,5.54,NA,NA,-27.64,NA,9.74,
Cyc_a_r2,15/10/2019,2,Cyclopoid,Autumn,Zooplankton,NA,NA,0.7,NA,NA,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA,
Cyc_a_r3,15/10/2019,3,Cyclopoid,Autumn,Zooplankton,NA,NA,0.44,NA,NA,NA,NA,NA,0.14,NA,NA,NA,NA,NA,NA,
Cyc_a_m,15/10/2019,mean,Cyclopoid,Autumn,Zooplankton,38.66,8.14,0.53,4.75,4.75,15.27,32.22,5.82,0.17,5.54,187.26,33.81,-27.64,-26.24,9.74,
Cyc_a_sd,15/10/2019,sd,Cyclopoid,Autumn,Zooplankton,NA,NA,0.14,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,
Diap_a_r1,15/10/2019,1,Diaphanosoma,Autumn,Zooplankton,32.38,7.55,0.12,4.29,NA,NA,26.98,5.39,0.04,5,NA,NA,-27.64,NA,5.64,
Diap_a_r2,15/10/2019,2,Diaphanosoma,Autumn,Zooplankton,NA,NA,0.14,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,
Diap_a_r3,15/10/2019,3,Diaphanosoma,Autumn,Zooplankton,NA,NA,0.42,NA,NA,NA,NA,NA,0.14,NA,NA,NA,NA,NA,NA,
Diap_a_m,15/10/2019,mean,Diaphanosoma,Autumn,Zooplankton,32.38,7.55,0.23,4.29,4.29,33.3,26.98,5.39,0.07,5,368.99,73.74,-27.64,-26.69,5.64,
Diap_a_sd,15/10/2019,sd,Diaphanosoma,Autumn,Zooplankton,NA,NA,0.17,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,
Dap_a_r1,15/10/2019,1,Daphnia,Autumn,Zooplankton,28.75,6.5,0.88,4.43,NA,NA,23.96,4.64,0.28,5.16,NA,NA,-27.64,NA,5.73,
Dap_a_r2,15/10/2019,2,Daphnia,Autumn,Zooplankton,NA,NA,0.98,NA,NA,NA,NA,NA,0.32,NA,NA,NA,NA,NA,NA,
Dap_a_r3,15/10/2019,3,Daphnia,Autumn,Zooplankton,NA,NA,1.11,NA,NA,NA,NA,NA,0.36,NA,NA,NA,NA,NA,NA,
Dap_a_m,15/10/2019,mean,Daphnia,Autumn,Zooplankton,28.75,6.5,0.99,4.43,4.43,6.56,23.96,4.64,0.32,5.16,75.02,14.53,-27.64,-26.56,5.73,
Dap_a_sd,15/10/2019,sd,Daphnia,Autumn,Zooplankton,NA,NA,0.12,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,
