CampaignID,Date,Phyto.ugCL,Rot.ugCL,Crust.ugCL
1,23/01/2018,6.349995487,0.018103488,0.254725116
2,13/02/2018,2.905469083,0.008775946,0.263629172
3,26/02/2018,9.818680168,0.008933227,0.212089381
4,12/03/2018,19.62935591,0.016737985,0.265273144
5,03/04/2018,26.62261128,0.007986039,0.078958406
6,17/04/2018,25.9340689,0.008255509,0.047507881
7,01/05/2018,18.21707703,0.019444618,0.065951311
8,15/05/2018,37.67654584,0.039607484,0.17272153
9,28/05/2018,54.12004628,0.081631114,0.150129905
10,12/06/2018,57.21864668,0.25746758,0.156283653
11,26/06/2018,30.2756698,0.338757514,0.815831101
12,10/07/2018,60.69239115,0.048245243,0.306479964
13,24/07/2018,102.4679761,0.163323099,0.495728157
14,07/08/2018,101.5304553,0.062694858,0.372556346
15,21/08/2018,49.03049766,0.159495814,0.226070855
16,03/09/2018,44.64113813,0.05173474,0.087921095
17,17/09/2018,27.14852903,0.12113247,0.130837439
18,01/10/2018,16.97612055,0.083804248,0.129241088
19,17/10/2018,26.54971095,0.09844919,0.239167527
20,30/10/2018,23.96532859,0.060093613,0.141683185
21,13/11/2018,23.88973537,0.225390745,0.238536363
22,26/11/2018,14.98398706,0.151133855,0.191386926
23,18/12/2018,12.39130856,0.128661166,0.681074642
24,14/01/2019,11.88725881,0.234704526,0.645359148
25,28/01/2019,11.72019671,0.140708628,0.583040672
26,17/02/2019,8.570927784,0.100291688,0.296473849
