Treatment,PhytoSpecies,Mean_cellmL,Total_cellmL,Total.cellmL_SD,Mean_ngCmL,Total_ngmL,Total.ngCmL_SD
Cnt_t0,Ciliates,1.187,30.166,1.29,0.808,7.507,0.57
Cnt_t0,Dolichospermum flos-aquae,1.91,30.166,1.29,0.034,7.507,0.57
Cnt_t0,Oscillatoria,0.63,30.166,1.29,2.374,7.507,0.57
Cnt_t0,Rhodomonas minuta,11.449,30.166,1.29,1.347,7.507,0.57
Cnt_t0,Cryptomonas,0.855,30.166,1.29,0.753,7.507,0.57
Cnt_t0,Dinobryon sociale,0.382,30.166,1.29,0.11,7.507,0.57
Cnt_t0,Chrysochromulina parva,0.035,30.166,1.29,0.003,7.507,0.57
Cnt_t0,Pyramimonadales,0.017,30.166,1.29,0.003,7.507,0.57
Cnt_t0,Monoraphidium minutum,1.675,30.166,1.29,0.074,7.507,0.57
Cnt_t0,Monoraphidium contortum,0.471,30.166,1.29,0.006,7.507,0.57
Cnt_t0,Chlamydomonas,0.175,30.166,1.29,0.006,7.507,0.57
Cnt_t0,Cosmarium,0.279,30.166,1.29,0.013,7.507,0.57
Cnt_t0,Desmodesmus,0.332,30.166,1.29,0.015,7.507,0.57
Cnt_t0,Kirchneriella obesa,0.471,30.166,1.29,0.126,7.507,0.57
Cnt_t0,Raphidocelis,0,30.166,1.29,0,7.507,0.57
Cnt_t0,Closterium acutum,0.611,30.166,1.29,0.107,7.507,0.57
Cnt_t0,Oocystis parva,0.593,30.166,1.29,0.069,7.507,0.57
Cnt_t0,Oocystis,0.698,30.166,1.29,0.019,7.507,0.57
Cnt_t0,Coenococcus planctonicus,0,30.166,1.29,0,7.507,0.57
Cnt_t0,Radiococcus polycoccus,0.175,30.166,1.29,0.005,7.507,0.57
Cnt_t0,Pennate_cylinder,0.419,30.166,1.29,0.108,7.507,0.57
Cnt_t0,Pennate_cones,0.384,30.166,1.29,0.07,7.507,0.57
Cnt_t0,Tabellaria fenestrate,1.51,30.166,1.29,0.65,7.507,0.57
Cnt_t0,Tabellaria flocculosa,0.035,30.166,1.29,0.015,7.507,0.57
Cnt_t0,Asterionella formosa,2.24,30.166,1.29,0.247,7.507,0.57
Cnt_t0,Aulacoseira alpigena,0.419,30.166,1.29,0.096,7.507,0.57
Cnt_t0,Aulacoseira subarctica,2.271,30.166,1.29,0.322,7.507,0.57
Cnt_t0,Cyclotella,0.942,30.166,1.29,0.126,7.507,0.57
Cnt_t24,Ciliates,0.6,25.846,5.01,0.409,4.549,0.45
Cnt_t24,Dolichospermum flos-aquae,2.36,25.846,5.01,0.042,4.549,0.45
Cnt_t24,Oscillatoria,0.52,25.846,5.01,0.668,4.549,0.45
Cnt_t24,Rhodomonas minuta,7.498,25.846,5.01,0.882,4.549,0.45
Cnt_t24,Cryptomonas,0.517,25.846,5.01,0.455,4.549,0.45
Cnt_t24,Dinobryon sociale,0.251,25.846,5.01,0.073,4.549,0.45
Cnt_t24,Chrysochromulina parva,0,25.846,5.01,0,4.549,0.45
Cnt_t24,Pyramimonadales,0.07,25.846,5.01,0.011,4.549,0.45
Cnt_t24,Monoraphidium minutum,2.304,25.846,5.01,0.102,4.549,0.45
Cnt_t24,Monoraphidium contortum,0.726,25.846,5.01,0.009,4.549,0.45
Cnt_t24,Chlamydomonas,0.321,25.846,5.01,0.01,4.549,0.45
Cnt_t24,Cosmarium,0.195,25.846,5.01,0.009,4.549,0.45
Cnt_t24,Desmodesmus,0.209,25.846,5.01,0.01,4.549,0.45
Cnt_t24,Kirchneriella obesa,0.469,25.846,5.01,0.126,4.549,0.45
Cnt_t24,Raphidocelis,0.042,25.846,5.01,0.003,4.549,0.45
Cnt_t24,Closterium acutum,0.949,25.846,5.01,0.167,4.549,0.45
Cnt_t24,Oocystis parva,0.503,25.846,5.01,0.059,4.549,0.45
Cnt_t24,Oocystis,0.572,25.846,5.01,0.016,4.549,0.45
Cnt_t24,Coenococcus planctonicus,0,25.846,5.01,0,4.549,0.45
Cnt_t24,Radiococcus polycoccus,0.112,25.846,5.01,0.003,4.549,0.45
Cnt_t24,Pennate_cylinder,0.628,25.846,5.01,0.162,4.549,0.45
Cnt_t24,Pennate_cones,0.279,25.846,5.01,0.051,4.549,0.45
Cnt_t24,Tabellaria fenestrate,1.088,25.846,5.01,0.468,4.549,0.45
Cnt_t24,Tabellaria flocculosa,0.084,25.846,5.01,0.037,4.549,0.45
Cnt_t24,Asterionella formosa,2.572,25.846,5.01,0.283,4.549,0.45
Cnt_t24,Aulacoseira alpigena,0.977,25.846,5.01,0.223,4.549,0.45
Cnt_t24,Aulacoseira subarctica,0.477,25.846,5.01,0.068,4.549,0.45
Cnt_t24,Cyclotella,1.522,25.846,5.01,0.203,4.549,0.45
Cala_t24,Ciliates,0.251,16.557,5.5,0.171,3.071,1.064
Cala_t24,Dolichospermum flos-aquae,0.48,16.557,5.5,0.009,3.071,1.064
Cala_t24,Oscillatoria,0.296,16.557,5.5,0.702,3.071,1.064
Cala_t24,Rhodomonas minuta,4.189,16.557,5.5,0.493,3.071,1.064
Cala_t24,Cryptomonas,0.14,16.557,5.5,0.123,3.071,1.064
Cala_t24,Dinobryon sociale,0.154,16.557,5.5,0.044,3.071,1.064
Cala_t24,Chrysochromulina parva,0.293,16.557,5.5,0.025,3.071,1.064
Cala_t24,Pyramimonadales,0.084,16.557,5.5,0.014,3.071,1.064
Cala_t24,Monoraphidium minutum,1.857,16.557,5.5,0.082,3.071,1.064
Cala_t24,Monoraphidium contortum,0.447,16.557,5.5,0.006,3.071,1.064
Cala_t24,Chlamydomonas,0.042,16.557,5.5,0.001,3.071,1.064
Cala_t24,Cosmarium,0.084,16.557,5.5,0.004,3.071,1.064
Cala_t24,Desmodesmus,0,16.557,5.5,0,3.071,1.064
Cala_t24,Kirchneriella obesa,0.531,16.557,5.5,0.142,3.071,1.064
Cala_t24,Raphidocelis,0.014,16.557,5.5,0.001,3.071,1.064
Cala_t24,Closterium acutum,0.572,16.557,5.5,0.1,3.071,1.064
Cala_t24,Oocystis parva,0.503,16.557,5.5,0.059,3.071,1.064
Cala_t24,Oocystis,0.293,16.557,5.5,0.008,3.071,1.064
Cala_t24,Coenococcus planctonicus,0.042,16.557,5.5,0.004,3.071,1.064
Cala_t24,Radiococcus polycoccus,0.112,16.557,5.5,0.003,3.071,1.064
Cala_t24,Pennate_cylinder,0.475,16.557,5.5,0.123,3.071,1.064
Cala_t24,Pennate_cones,0.154,16.557,5.5,0.028,3.071,1.064
