Treatment,Prey,CR_mL.Nh,CR.SD_N,CR_mL.Mh,CR.SD_M,IR_cell.Nh,IR_cell.Mh,IR_ngC.Nh,IR_ngC.Mh,IR.SD_cell.Nh,IR.SD_cell.Mh,IR.SD_ngC.Nh,IR.SD_ngC.Mh,lnR,var_lnR
Cala,Ciliates,1.1,0.772,169.172,118.727,0.558,85.862,0.38,58.459,0.251,38.645,0.171,26.311,-0.870828358,0.077985932
Cala,Oscillatoria,0.417,0.311,64.147,47.889,0.185,28.511,0.608,93.56,0.12,18.501,0.448,68.991,-0.36772478,0.028268439
Cala,Rhodomonas minuta,0.46,0.498,70.819,76.6,3.078,473.603,0.362,55.732,2.627,404.081,0.309,47.551,-0.369122404,0.042559396
Cala,Cryptomonas,1.423,0.413,218.889,63.514,0.54,83.06,0.476,73.162,0.078,12.073,0.069,10.634,-1.30833282,0.033400292
Cala,Monoraphidium minutum,0.385,0.296,59.237,45.552,0.584,89.786,0.026,3.957,0.403,62.065,0.018,2.735,-0.33950714,0.025736396
Cala,Monoraphidium contortum,0.564,0.39,86.84,59.928,0.23,35.409,0.003,0.454,0.137,21.056,0.002,0.27,-0.485507816,0.052913508
Cala,Kirchneriella obesa,0.248,0.337,38.221,51.778,0.089,13.65,0.024,3.658,0.126,19.43,0.034,5.207,-0.199855992,0.047443607
Cala,Closterium acutum,0.537,0.163,82.669,25.114,0.311,47.885,0.055,8.404,0.074,11.32,0.013,1.987,-0.505935638,0.031332466
Cala,Oocystis,0.42,0.134,64.669,20.66,0.219,33.645,0.006,0.931,0.058,8.88,0.002,0.246,-0.399386062,0.075783797
Cala,Tabellaria fenestrate,1.264,0.718,194.389,110.512,0.881,135.505,0.379,58.351,0.421,64.809,0.181,27.908,-1.000493635,0.24391728
Cala,Asterionella formosa,1.154,0.282,177.465,43.389,1.631,250.955,0.18,27.654,0.203,31.306,0.022,3.45,-1.079744331,0.068413278
Cala,Aulacoseira alpigena,0.446,0.203,68.614,31.21,0.225,34.653,0.051,7.903,0.078,11.961,0.018,2.728,-0.414433778,0.024338362
Cala,Cyclotella,0.757,0.694,116.505,106.698,0.544,83.707,0.072,11.151,0.352,54.078,0.047,7.204,-0.59700332,0.103619185
Cycl,Ciliates,0.366,0.204,45.791,25.52,0.282,35.246,0.192,23.997,0.145,18.178,0.099,12.376,-0.205852054,0.015029268
Cycl,Oscillatoria,1.089,0.557,136.13,69.618,0.449,56.127,1.107,138.375,0.152,18.954,0.57,71.247,-0.590868331,0.021966999
Cycl,Rhodomonas minuta,0.747,0.865,93.32,108.103,4.872,609.046,0.573,71.67,5.095,636.891,0.6,74.947,-0.345826842,0.053753715
Cycl,Cryptomonas,1.494,0.943,186.717,117.855,0.641,80.181,0.565,70.626,0.324,40.46,0.285,35.639,-0.748717032,0.083230224
Cycl,Monoraphidium minutum,0.495,0.238,61.818,29.736,0.823,102.893,0.036,4.535,0.365,45.564,0.016,2.008,-0.277631737,0.011035445
Cycl,Monoraphidium contortum,0.096,0.749,12.055,93.625,-0.025,-3.145,0,-0.04,0.45,56.25,0.006,0.72,0.019048195,0.061617047
Cycl,Kirchneriella obesa,0.724,0.352,90.483,43.996,0.269,33.674,0.072,9.025,0.122,15.192,0.033,4.071,-0.400526688,0.034995898
Cycl,Closterium acutum,0.534,0,66.728,0,0.349,43.608,0.061,7.653,0,0,0,0,-0.3074847,0.026275952
Cycl,Oocystis,0.196,0.452,24.468,56.557,0.095,11.846,0.003,0.328,0.234,29.23,0.006,0.809,-0.089231134,0.080852667
Cycl,Tabellaria fenestrate,2.361,1.702,295.108,212.73,1.579,197.423,0.68,85.014,0.668,83.452,0.287,35.936,-1.136714355,0.47191728
Cycl,Asterionella formosa,2.164,0.352,270.508,44.047,2.912,363.978,0.321,40.109,0.224,27.954,0.025,3.08,-1.231639698,0.065266955
Cycl,Aulacoseira alpigena,1.126,0.134,140.763,16.731,0.521,65.063,0.119,14.839,0.042,5.301,0.01,1.209,-0.646627165,0.017882442
Cycl,Cyclotella,0.324,0.215,40.468,26.91,0.343,42.909,0.046,5.716,0.205,25.617,0.027,3.413,-0.180488376,0.006919969
