Treatment,Season,PhytoTaxa,Mean_cells.mL,Total_cells.mL,Total_cells.mL_SD,
Cnt_t0,Autumn,Ciliates,5.817766667,107.512328,17.05786648,
Cnt_t0,Autumn,Rhodomonas minuta,10.23926933,107.512328,17.05786648,
Cnt_t0,Autumn,Cryptomonas,1.396264,107.512328,17.05786648,
Cnt_t0,Autumn,Chroomonas,2.094396,107.512328,17.05786648,
Cnt_t0,Autumn,Chromulina,2.094396,107.512328,17.05786648,
Cnt_t0,Autumn,Dinobryon sociale,0,107.512328,17.05786648,
Cnt_t0,Autumn,Gymnodinium,0.930842667,107.512328,17.05786648,
Cnt_t0,Autumn,Chrysochromulina parva,0,107.512328,17.05786648,
Cnt_t0,Autumn,Pyramimonadales,0.698132,107.512328,17.05786648,
Cnt_t0,Autumn,Monoraphidium minutum,14.42806133,107.512328,17.05786648,
Cnt_t0,Autumn,Monoraphidium contortum,0,107.512328,17.05786648,
Cnt_t0,Autumn,Chlamydomonas,5.585056,107.512328,17.05786648,
Cnt_t0,Autumn,Cosmarium,1.163553333,107.512328,17.05786648,
Cnt_t0,Autumn,Kirchneriella obesa,10.00655867,107.512328,17.05786648,
Cnt_t0,Autumn,Raphidocelis,0.232710667,107.512328,17.05786648,
Cnt_t0,Autumn,Closterium acutum,18.151432,107.512328,17.05786648,
Cnt_t0,Autumn,Closterium,0,107.512328,17.05786648,
Cnt_t0,Autumn,Oocystis,0.232710667,107.512328,17.05786648,
Cnt_t0,Autumn,Coenococcus planctonicus,1.163553333,107.512328,17.05786648,
Cnt_t0,Autumn,Radiococcus polycoccus,6.98132,107.512328,17.05786648,
Cnt_t0,Autumn,Pennate_cylinder,5.119634667,107.512328,17.05786648,
Cnt_t0,Autumn,Pennate_cylinderLong,0.465421333,107.512328,17.05786648,
Cnt_t0,Autumn,Pennate_cylinderSmall,0.698132,107.512328,17.05786648,
Cnt_t0,Autumn,Pennate_cones,3.025238667,107.512328,17.05786648,
Cnt_t0,Autumn,Pennate_conesFat,0,107.512328,17.05786648,
Cnt_t0,Autumn,Tabellaria fenestrate,0.465421333,107.512328,17.05786648,
Cnt_t0,Autumn,Tabellaria flocculosa,0.698132,107.512328,17.05786648,
Cnt_t0,Autumn,Asterionella formosa,3.723370667,107.512328,17.05786648,
Cnt_t0,Autumn,Aulacoseira alpigena,2.327106667,107.512328,17.05786648,
